road_name,edge_id,length_meters,avg_deviation,max_deviation
Victoria Street_1,176399846->285732089,37.219629791623,0,0
Glebe Road_11,1839861628->4572931369,36.85918530331021,0,0
Park Avenue_4,176399696->8528284074,35.982505747373764,0,0
Brown Road_4,337354167->3743489802,35.88621404868727,0,0
Grinsell Street_2,1840020314->1840020315,33.95722341168605,0,0
Hawkins Street_1,1843667312->1843667315,33.66057507406082,0,0
Wickham Road_1,285923542->285923664,33.48482814665953,0,0
Lambton Road_20,367125595->1839861574,33.46941876471794,0,0
Lambton Road_30,1839861575->1839861576,32.70065849434525,0,0
Bullecourt Circuit_1,285907000->285907006,32.35084346925303,0,0
Durham Road_1,285922879->1843667262,32.33049987768586,0,0
Lambton Road_1,174794320->337354143,32.13555079880795,0,0
Brunker Road_3,272224402->286119551,31.378010222990852,0,0
Durham Road_3,285922945->1843667280,30.321726219185898,0,0
Bridges Road_16,1839861567->1956532188,28.91584352756309,0,0
Hobart Road_20,739711945->739712119,28.69064991432917,0,0
Fletcher Street_1,176399746->419517731,28.32989807016051,0,0
Date Street_6,285732115->285732117,27.98165888085319,0,0
Kullaiba Road_8,2658893207->3488644760,26.98644285924648,0,0
Orchardtown Road_5,285923942->1840020223,25.46614009604708,23.094356143562177,28.014931101861045
Unnamed Road_30,7095701987->8172070487,24.8014806197767,0,0
Park Avenue_27,3336072231->8534733867,24.55277631748566,0,0
Brisbane Water Road_1,176399696->8562026835,23.946551935066136,0,0
Park Avenue_29,3336072242->8534733867,23.880452017362586,0,0
Unnamed Road_10,939119128->2676461902,23.703718567856964,22.867233686428907,33.948266203854445
Bailey Street_7,2658879567->8386558649,23.20457353504146,0,0
Unnamed Road_22,2676461913->7095701989,22.34786527203022,20.37878887491259,30.37975707262879
Hobart Road_1,285922515->739711945,22.121392204112713,0,0
Bailey Street_8,8386558649->10130363628,21.51172477799399,0,0
Park Avenue_26,3336072228->8386558650,20.898190791351112,0,0
Princeton Avenue_1,2833593903->4428724110,20.84346379668683,0,0
Brown Road_2,287003447->367126633,20.22725110365481,0,0
Hobart Road_14,337344524->337344529,20.09079628028612,0,0
Park Avenue_28,3336072234->8386558650,19.99951068759896,0,0
Brisbane Water Road_5,8562026835->8562026838,19.903733590203192,0,0
Dibbs Street_1,286098496->8528284071,19.859479251470805,0,0
Westcourt Road_5,285923669->5978163993,19.49966160517085,0,0
Errington Avenue_3,1843667475->6137125728,19.3473839593184,0,0
Kullaiba Road_11,3393432760->3393434596,19.115450623178038,0,0
Young Road_5,285923082->420057113,18.285713403380505,0,0
Blamey Avenue_1,285923942->1840020227,18.04977692741563,18.8824066380626,28.014931101861045
